  Frequency             DB(V(VOUT))           P(V(VOUT))           
  1.000000000000e-02  2.341610655839e+01  8.429199331134e+01  
  1.002305238078e-02  2.343591005513e+01  8.427892100787e+01  
  1.004615790278e-02  2.345571265380e+01  8.426581916109e+01  
  1.006931668852e-02  2.347551435034e+01  8.425268770695e+01  
  1.009252886077e-02  2.349531514067e+01  8.423952658126e+01  
  1.011579454260e-02  2.351511502069e+01  8.422633571972e+01  
  1.013911385737e-02  2.353491398629e+01  8.421311505791e+01  
  1.016248692871e-02  2.355471203332e+01  8.419986453130e+01  
  1.018591388054e-02  2.357450915763e+01  8.418658407523e+01  
  1.020939483708e-02  2.359430535506e+01  8.417327362490e+01  
  1.023292992281e-02  2.361410062141e+01  8.415993311543e+01  
  1.025651926251e-02  2.363389495246e+01  8.414656248177e+01  
  1.028016298126e-02  2.365368834400e+01  8.413316165881e+01  
  1.030386120442e-02  2.367348079177e+01  8.411973058125e+01  
  1.032761405761e-02  2.369327229152e+01  8.410626918373e+01  
  1.035142166679e-02  2.371306283895e+01  8.409277740073e+01  
  1.037528415818e-02  2.373285242976e+01  8.407925516662e+01  
  1.039920165829e-02  2.375264105963e+01  8.406570241566e+01  
  1.042317429393e-02  2.377242872421e+01  8.405211908197e+01  
  1.044720219221e-02  2.379221541916e+01  8.403850509955e+01  
  1.047128548051e-02  2.381200114008e+01  8.402486040230e+01  
  1.049542428652e-02  2.383178588258e+01  8.401118492397e+01  
  1.051961873823e-02  2.385156964224e+01  8.399747859822e+01  
  1.054386896391e-02  2.387135241462e+01  8.398374135855e+01  
  1.056817509214e-02  2.389113419526e+01  8.396997313836e+01  
  1.059253725177e-02  2.391091497969e+01  8.395617387094e+01  
  1.061695557199e-02  2.393069476341e+01  8.394234348943e+01  
  1.064143018224e-02  2.395047354189e+01  8.392848192686e+01  
  1.066596121230e-02  2.397025131061e+01  8.391458911615e+01  
  1.069054879223e-02  2.399002806501e+01  8.390066499009e+01  
  1.071519305238e-02  2.400980380051e+01  8.388670948133e+01  
  1.073989412341e-02  2.402957851251e+01  8.387272252242e+01  
  1.076465213630e-02  2.404935219639e+01  8.385870404577e+01  
  1.078946722230e-02  2.406912484753e+01  8.384465398370e+01  
  1.081433951298e-02  2.408889646125e+01  8.383057226836e+01  
  1.083926914021e-02  2.410866703288e+01  8.381645883182e+01  
  1.086425623617e-02  2.412843655772e+01  8.380231360600e+01  
  1.088930093333e-02  2.414820503105e+01  8.378813652270e+01  
  1.091440336449e-02  2.416797244813e+01  8.377392751362e+01  
  1.093956366272e-02  2.418773880419e+01  8.375968651031e+01  
  1.096478196143e-02  2.420750409447e+01  8.374541344421e+01  
  1.099005839433e-02  2.422726831414e+01  8.373110824664e+01  
  1.101539309541e-02  2.424703145839e+01  8.371677084878e+01  
  1.104078619902e-02  2.426679352236e+01  8.370240118170e+01  
  1.106623783978e-02  2.428655450121e+01  8.368799917636e+01  
  1.109174815262e-02  2.430631439002e+01  8.367356476357e+01  
  1.111731727282e-02  2.432607318390e+01  8.365909787403e+01  
  1.114294533592e-02  2.434583087791e+01  8.364459843831e+01  
  1.116863247781e-02  2.436558746710e+01  8.363006638688e+01  
  1.119437883467e-02  2.438534294649e+01  8.361550165005e+01  
  1.122018454302e-02  2.440509731108e+01  8.360090415804e+01  
  1.124604973967e-02  2.442485055587e+01  8.358627384092e+01  
  1.127197456176e-02  2.444460267580e+01  8.357161062866e+01  
  1.129795914673e-02  2.446435366581e+01  8.355691445109e+01  
  1.132400363236e-02  2.448410352082e+01  8.354218523792e+01  
  1.135010815672e-02  2.450385223572e+01  8.352742291874e+01  
  1.137627285823e-02  2.452359980538e+01  8.351262742301e+01  
  1.140249787561e-02  2.454334622465e+01  8.349779868007e+01  
  1.142878334790e-02  2.456309148835e+01  8.348293661914e+01  
  1.145512941446e-02  2.458283559128e+01  8.346804116932e+01  
  1.148153621497e-02  2.460257852823e+01  8.345311225957e+01  
  1.150800388944e-02  2.462232029395e+01  8.343814981875e+01  
  1.153453257821e-02  2.464206088318e+01  8.342315377556e+01  
  1.156112242192e-02  2.466180029062e+01  8.340812405861e+01  
  1.158777356155e-02  2.468153851096e+01  8.339306059637e+01  
  1.161448613840e-02  2.470127553887e+01  8.337796331720e+01  
  1.164126029410e-02  2.472101136899e+01  8.336283214932e+01  
  1.166809617061e-02  2.474074599594e+01  8.334766702084e+01  
  1.169499391020e-02  2.476047941431e+01  8.333246785972e+01  
  1.172195365548e-02  2.478021161867e+01  8.331723459384e+01  
  1.174897554940e-02  2.479994260356e+01  8.330196715091e+01  
  1.177605973521e-02  2.481967236352e+01  8.328666545855e+01  
  1.180320635652e-02  2.483940089303e+01  8.327132944424e+01  
  1.183041555725e-02  2.485912818658e+01  8.325595903533e+01  
  1.185768748167e-02  2.487885423862e+01  8.324055415908e+01  
  1.188502227437e-02  2.489857904357e+01  8.322511474257e+01  
  1.191242008027e-02  2.491830259583e+01  8.320964071282e+01  
  1.193988104464e-02  2.493802488979e+01  8.319413199667e+01  
  1.196740531307e-02  2.495774591979e+01  8.317858852087e+01  
  1.199499303149e-02  2.497746568017e+01  8.316301021203e+01  
  1.202264434617e-02  2.499718416523e+01  8.314739699665e+01  
  1.205035940372e-02  2.501690136925e+01  8.313174880109e+01  
  1.207813835107e-02  2.503661728648e+01  8.311606555160e+01  
  1.210598133550e-02  2.505633191116e+01  8.310034717430e+01  
  1.213388850465e-02  2.507604523748e+01  8.308459359519e+01  
  1.216186000646e-02  2.509575725963e+01  8.306880474014e+01  
  1.218989598925e-02  2.511546797177e+01  8.305298053490e+01  
  1.221799660165e-02  2.513517736801e+01  8.303712090509e+01  
  1.224616199265e-02  2.515488544246e+01  8.302122577622e+01  
  1.227439231158e-02  2.517459218921e+01  8.300529507367e+01  
  1.230268770812e-02  2.519429760229e+01  8.298932872268e+01  
  1.233104833229e-02  2.521400167575e+01  8.297332664839e+01  
  1.235947433445e-02  2.523370440357e+01  8.295728877581e+01  
  1.238796586530e-02  2.525340577973e+01  8.294121502983e+01  
  1.241652307592e-02  2.527310579819e+01  8.292510533519e+01  
  1.244514611771e-02  2.529280445285e+01  8.290895961654e+01  
  1.247383514243e-02  2.531250173762e+01  8.289277779840e+01  
  1.250259030218e-02  2.533219764637e+01  8.287655980514e+01  
  1.253141174941e-02  2.535189217293e+01  8.286030556105e+01  
  1.256029963695e-02  2.537158531112e+01  8.284401499025e+01  
  1.258925411794e-02  2.539127705474e+01  8.282768801678e+01  
  1.261827534591e-02  2.541096739753e+01  8.281132456452e+01  
  1.264736347471e-02  2.543065633325e+01  8.279492455725e+01  
  1.267651865858e-02  2.545034385559e+01  8.277848791863e+01  
  1.270574105209e-02  2.547002995823e+01  8.276201457217e+01  
  1.273503081017e-02  2.548971463484e+01  8.274550444129e+01  
  1.276438808811e-02  2.550939787903e+01  8.272895744927e+01  
  1.279381304158e-02  2.552907968440e+01  8.271237351925e+01  
  1.282330582656e-02  2.554876004452e+01  8.269575257429e+01  
  1.285286659944e-02  2.556843895294e+01  8.267909453730e+01  
  1.288249551693e-02  2.558811640318e+01  8.266239933105e+01  
  1.291219273614e-02  2.560779238870e+01  8.264566687823e+01  
  1.294195841450e-02  2.562746690299e+01  8.262889710138e+01  
  1.297179270984e-02  2.564713993946e+01  8.261208992292e+01  
  1.300169578033e-02  2.566681149153e+01  8.259524526516e+01  
  1.303166778452e-02  2.568648155255e+01  8.257836305026e+01  
  1.306170888132e-02  2.570615011588e+01  8.256144320029e+01  
  1.309181922999e-02  2.572581717484e+01  8.254448563719e+01  
  1.312199899019e-02  2.574548272271e+01  8.252749028276e+01  
  1.315224832192e-02  2.576514675276e+01  8.251045705870e+01  
  1.318256738556e-02  2.578480925820e+01  8.249338588657e+01  
  1.321295634187e-02  2.580447023225e+01  8.247627668782e+01  
  1.324341535195e-02  2.582412966807e+01  8.245912938379e+01  
  1.327394457730e-02  2.584378755881e+01  8.244194389567e+01  
  1.330454417978e-02  2.586344389757e+01  8.242472014454e+01  
  1.333521432163e-02  2.588309867745e+01  8.240745805137e+01  
  1.336595516546e-02  2.590275189150e+01  8.239015753701e+01  
  1.339676687426e-02  2.592240353273e+01  8.237281852216e+01  
  1.342764961138e-02  2.594205359415e+01  8.235544092743e+01  
  1.345860354056e-02  2.596170206871e+01  8.233802467329e+01  
  1.348962882592e-02  2.598134894935e+01  8.232056968011e+01  
  1.352072563194e-02  2.600099422898e+01  8.230307586813e+01  
  1.355189412351e-02  2.602063790046e+01  8.228554315744e+01  
  1.358313446587e-02  2.604027995664e+01  8.226797146807e+01  
  1.361444682466e-02  2.605992039033e+01  8.225036071987e+01  
  1.364583136589e-02  2.607955919431e+01  8.223271083262e+01  
  1.367728825596e-02  2.609919636134e+01  8.221502172593e+01  
  1.370881766165e-02  2.611883188412e+01  8.219729331934e+01  
  1.374041975013e-02  2.613846575534e+01  8.217952553224e+01  
  1.377209468894e-02  2.615809796768e+01  8.216171828390e+01  
  1.380384264603e-02  2.617772851374e+01  8.214387149349e+01  
  1.383566378972e-02  2.619735738612e+01  8.212598508004e+01  
  1.386755828872e-02  2.621698457739e+01  8.210805896248e+01  
  1.389952631213e-02  2.623661008007e+01  8.209009305961e+01  
  1.393156802945e-02  2.625623388666e+01  8.207208729012e+01  
  1.396368361056e-02  2.627585598964e+01  8.205404157256e+01  
  1.399587322573e-02  2.629547638143e+01  8.203595582538e+01  
  1.402813704562e-02  2.631509505443e+01  8.201782996692e+01  
  1.406047524130e-02  2.633471200102e+01  8.199966391538e+01  
  1.409288798422e-02  2.635432721353e+01  8.198145758887e+01  
  1.412537544623e-02  2.637394068427e+01  8.196321090534e+01  
